Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit
1759,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1766,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1695707324,0.1089337573,0.0000000000,83689.0000000000,993.9375000000,0.0000000000
1761,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1768,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1709482242,0.1066849000,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1763,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1770,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1669772839,0.1143243830,0.0000000000,83686.0000000000,993.9375000000,0.0000000000
1765,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1772,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1704949724,0.1017872605,0.0000000000,83683.0000000000,993.9375000000,0.0000000000
1767,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1774,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1685160306,0.1035809656,0.0000000000,83686.0000000000,993.9375000000,0.0000000000
1769,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1776,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1595500688,0.1137832978,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1771,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1778,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1695299881,0.1055078057,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1773,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1780,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1684238446,0.1126520954,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1775,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1782,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1687685213,0.1160906500,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1777,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1784,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1704074684,0.1161697567,0.0000000000,83670.0000000000,993.9375000000,0.0000000000
1779,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1786,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1690290810,0.1124746290,0.0000000000,83687.0000000000,993.9375000000,0.0000000000
1781,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1788,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1690470803,0.1076198471,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1783,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1790,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1681517868,0.0943474685,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1785,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1792,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1601633666,0.1055451561,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1787,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1795,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1650829965,0.1129157134,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
