Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,WriteSize,VALUUtilization,L2CacheHit,MemUnitStalled
1765,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1772,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0573416953
1767,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1774,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0521941780
1769,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1776,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0567009201
1771,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1778,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0594286395
1773,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1780,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0571803271
1775,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1782,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0548642170
1777,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1784,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0536091446
1779,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1786,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0591999761
1781,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1788,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0561786424
1783,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1790,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0543196947
1785,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1792,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0510258725
