idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,trace_count,ck_ua_ms,ck_pagedkv_ms,ck_splitkv_ms,triton_2d_ms,triton_3d_ms,best
158,decode,448,448,1,1,64,8,64,32,"-1,-1",1,0.017098989337682724,0.034602684900164604,0.1458865124732256,0.0228202436119318,0.07935124449431896,ck_ua
159,decode,448,448,1,131072,64,8,64,32,"127,0",1,,,,0.03950516693294048,,t_2d
161,decode,432,432,1,1,64,8,64,32,"127,0",1,0.016474584117531776,0.03404328599572182,0.14300262555480003,0.023299455642700195,0.07587242871522903,ck_ua
162,decode,432,432,1,1,64,8,64,32,"-1,-1",1,0.016683386638760567,0.03358516842126846,0.14182785525918007,0.021854229271411896,0.07546287961304188,ck_ua
163,decode,432,432,1,131072,64,8,64,32,"127,0",1,,,,0.039746006950736046,,t_2d
165,decode,416,416,1,1,64,8,64,32,"127,0",1,0.016435561701655388,0.03285449929535389,0.1385633833706379,0.022272393107414246,0.07372768595814705,ck_ua
166,decode,416,416,1,1,64,8,64,32,"-1,-1",1,0.016681896522641182,0.03298069350421429,0.13780025765299797,0.021595368161797523,0.07370864041149616,ck_ua
167,decode,416,416,1,131072,64,8,64,32,"127,0",1,,,,0.0386933796107769,,t_2d
169,decode,400,400,1,1,64,8,64,32,"127,0",1,0.016132043674588203,0.0322059728205204,0.1344436313956976,0.021652458235621452,0.070626987144351,ck_ua
170,decode,400,400,1,1,64,8,64,32,"-1,-1",1,0.015931203961372375,0.03229612484574318,0.13394635170698166,0.02076956443488598,0.07048230618238449,ck_ua
171,decode,400,400,1,131072,64,8,64,32,"127,0",1,,,,0.03803684376180172,,t_2d
173,decode,384,384,1,1,64,8,64,32,"127,0",1,0.016104523092508316,0.03142976202070713,0.12959521263837814,0.021368032321333885,0.06910464726388454,ck_ua
174,decode,384,384,1,1,64,8,64,32,"-1,-1",1,0.015454553067684174,0.031218072399497032,0.12834928929805756,0.020293844863772392,0.06875661201775074,ck_ua
