M,N,K
10666,2048,3072
10676,3072,3072
10676,4096,3072
10679,2048,3072
10689,2048,3072
10691,3072,3072
10691,4096,3072
10694,3072,3072
10694,4096,3072
10696,3072,3072
10696,4096,3072
10700,3072,3072
10700,4096,3072
10705,2048,3072
10709,2048,3072
10715,3072,3072
10715,4096,3072
10721,2048,3072
10733,3072,3072
10733,4096,3072
10742,2048,3072
10751,2048,3072
10754,3072,3072
10754,4096,3072
10771,2048,3072
10801,3072,3072
10801,4096,3072
10803,3072,3072
10803,4096,3072
10804,3072,3072
10804,4096,3072
10829,2048,3072
10841,3072,3072
10841,4096,3072
10844,2048,3072
10846,2048,3072
10853,2048,3072
10855,3072,3072
10855,4096,3072
10856,3072,3072
10856,4096,3072
10857,3072,3072
10857,4096,3072
10862,2048,3072
10873,3072,3072
10873,4096,3072
10874,3072,3072
10874,4096,3072
10877,2048,3072
10913,3072,3072
10913,4096,3072
10914,3072,3072
10914,4096,3072
10915,3072,3072
10915,4096,3072
10916,3072,3072
10916,4096,3072
10921,3072,3072
10921,4096,3072
10931,3072,3072
10931,4096,3072
10974,3072,3072
10974,4096,3072
10975,3072,3072
10975,4096,3072
10976,3072,3072
10976,4096,3072
10977,3072,3072
10977,4096,3072
10988,3072,3072
10988,4096,3072
10989,3072,3072
10989,4096,3072
10991,3072,3072
10991,4096,3072
11003,3072,6144
11003,8192,3072
11053,3072,3072
11053,4096,3072
11059,3072,3072
11059,4096,3072
11083,2048,3072
11099,3072,3072
11099,4096,3072
11111,3072,3072
11111,4096,3072
11184,2048,3072
11216,2048,3072
11223,2048,3072
11224,2048,3072
11249,2048,3072
11612,3072,3072
11612,4096,3072
11645,3072,3072
11645,4096,3072
11667,3072,3072
11667,4096,3072
12004,3072,3072
12004,4096,3072
12434,3072,3072
12434,4096,3072
12760,2048,3072
12869,3072,6144
12869,8192,3072
12894,3072,3072
12894,4096,3072
13003,2048,3072
13004,3072,3072
13004,4096,3072
13006,3072,3072
13006,4096,3072
13178,3072,3072
13178,4096,3072
13976,2048,3072
14004,3072,6144
14004,8192,3072
14470,2048,3072
14486,2048,3072
14509,2048,3072
14809,2048,3072
15000,2048,3072
15000,3072,3072
15000,3072,6144
15000,4096,3072
15000,8192,3072
15001,2048,3072
15001,3072,3072
15001,3072,6144
15001,4096,3072
15001,8192,3072
15002,3072,3072
15002,4096,3072
15015,3072,6144
15015,8192,3072
15029,2048,3072
15094,3072,6144
15094,8192,3072
15179,3072,6144
15179,8192,3072
15264,3072,3072
15264,4096,3072
15391,3072,6144
15391,8192,3072
15457,3072,6144
15457,8192,3072
15479,2048,3072
15509,2048,3072
15585,3072,3072
15585,4096,3072
16014,3072,3072
16014,4096,3072
16404,3072,3072
16404,4096,3072
16406,3072,3072
16406,4096,3072
18007,3072,3072
18007,4096,3072
18371,3072,3072
18371,4096,3072
18617,3072,6144
18617,8192,3072
18950,2048,3072
18950,3072,3072
18950,3072,6144
18950,4096,3072
18950,8192,3072
18963,3072,6144
18963,8192,3072
18964,3072,3072
18964,4096,3072
19001,3072,6144
19001,8192,3072
19002,3072,6144
19002,8192,3072
19507,3072,6144
19507,8192,3072
20000,2048,3072
20000,3072,3072
20000,3072,6144
20000,4096,3072
20000,8192,3072
20001,2048,3072
20001,3072,3072
20001,3072,6144
20001,4096,3072
20001,8192,3072
