M,N,K,q_dtype_w
7168,1024,2048,torch.float8_e4m3fn
7168,12288,2048,torch.float8_e4m3fn
7168,2048,4096,torch.float8_e4m3fn
7168,2048,512,torch.float8_e4m3fn
7168,9216,2048,torch.float8_e4m3fn
7169,1024,2048,torch.float8_e4m3fn
7169,12288,2048,torch.float8_e4m3fn
7169,2048,4096,torch.float8_e4m3fn
7169,2048,512,torch.float8_e4m3fn
7169,9216,2048,torch.float8_e4m3fn
7172,1024,2048,torch.float8_e4m3fn
7172,12288,2048,torch.float8_e4m3fn
7172,2048,4096,torch.float8_e4m3fn
7172,2048,512,torch.float8_e4m3fn
7172,9216,2048,torch.float8_e4m3fn
7176,1024,2048,torch.float8_e4m3fn
7176,12288,2048,torch.float8_e4m3fn
7176,2048,4096,torch.float8_e4m3fn
7176,2048,512,torch.float8_e4m3fn
7176,9216,2048,torch.float8_e4m3fn
7177,1024,2048,torch.float8_e4m3fn
7177,12288,2048,torch.float8_e4m3fn
7177,2048,4096,torch.float8_e4m3fn
7177,2048,512,torch.float8_e4m3fn
7177,9216,2048,torch.float8_e4m3fn
7178,1024,2048,torch.float8_e4m3fn
7178,12288,2048,torch.float8_e4m3fn
7178,2048,4096,torch.float8_e4m3fn
7178,2048,512,torch.float8_e4m3fn
7178,9216,2048,torch.float8_e4m3fn
7179,1024,2048,torch.float8_e4m3fn
7179,12288,2048,torch.float8_e4m3fn
7179,2048,4096,torch.float8_e4m3fn
7179,2048,512,torch.float8_e4m3fn
7179,9216,2048,torch.float8_e4m3fn
7183,1024,2048,torch.float8_e4m3fn
7183,12288,2048,torch.float8_e4m3fn
7183,2048,4096,torch.float8_e4m3fn
7183,2048,512,torch.float8_e4m3fn
7183,9216,2048,torch.float8_e4m3fn
7184,1024,2048,torch.float8_e4m3fn
7184,12288,2048,torch.float8_e4m3fn
7184,2048,4096,torch.float8_e4m3fn
7184,2048,512,torch.float8_e4m3fn
7184,9216,2048,torch.float8_e4m3fn
7209,1024,2048,torch.float8_e4m3fn
7209,12288,2048,torch.float8_e4m3fn
7209,2048,4096,torch.float8_e4m3fn
7209,2048,512,torch.float8_e4m3fn
7209,9216,2048,torch.float8_e4m3fn
7210,1024,2048,torch.float8_e4m3fn
7210,12288,2048,torch.float8_e4m3fn
7210,2048,4096,torch.float8_e4m3fn
7210,2048,512,torch.float8_e4m3fn
7210,9216,2048,torch.float8_e4m3fn
7211,1024,2048,torch.float8_e4m3fn
7211,12288,2048,torch.float8_e4m3fn
7211,2048,4096,torch.float8_e4m3fn
7211,2048,512,torch.float8_e4m3fn
7211,9216,2048,torch.float8_e4m3fn
