gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,208,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3795,4,11.1048,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0146,103.11,778.64
gfx950,256,216,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4652,4,11.2712,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0145,105.5,777.87
gfx950,256,224,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4606,4,11.574,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0215,106.54,767.96
gfx950,256,232,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3795,4,11.3172,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0141,112.85,796.06
gfx950,256,240,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3792,4,11.3047,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0142,116.87,807.63
gfx950,256,248,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3792,4,11.8748,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.014,114.97,779.03
gfx950,256,264,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3792,4,11.6101,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0139,125.18,817.61
gfx950,256,272,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4652,4,12.0606,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0144,124.15,797.08
gfx950,256,280,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4652,4,11.9098,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0145,129.42,817.32
gfx950,256,288,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3791,4,12.3571,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0216,128.3,797.52
gfx950,256,296,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4606,4,12.088,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0217,134.8,825.27
