gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1024,512,1024,ck,12,0,5.4144,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,198.31,484.16,0.0
gfx950,256,1024,512,2048,ck,12,0,6.9139,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,310.6,606.65,0.0
gfx950,256,2048,512,256,ck,4,0,4.3267,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.08,636.17,0.0
gfx950,256,2048,512,512,ck,11,0,4.9635,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,216.33,686.59,0.0
gfx950,256,2048,512,1024,ck,9,0,7.2831,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,294.86,647.88,0.0
gfx950,256,4096,512,256,ck,12,0,5.7231,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,187.62,938.99,0.0
gfx950,256,4096,512,512,ck,16,0,6.0313,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,356.06,1086.6,0.0
gfx950,256,4096,512,1024,ck,14,0,9.5983,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,447.47,928.59,0.0
gfx950,256,4096,512,2048,ck,15,0,13.5435,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,634.25,1006.5,0.0009
gfx950,256,8192,512,256,ck,12,0,7.8605,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,273.2,1350.66,0.0
gfx950,256,8192,512,512,ck,16,0,10.3954,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,413.16,1235.65,0.0
gfx950,256,8192,512,1024,ck,14,0,13.1487,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,653.29,1315.83,0.0
gfx950,256,16384,512,256,ck,9,0,12.9271,a8w8_blockscale_bpreshuffle_1x128x128_256x32x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,332.25,1632.43,0.0
gfx950,256,16384,512,512,ck,16,0,16.0509,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,535.17,1584.21,0.0
gfx950,256,32768,512,512,ck,16,0,27.1113,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,633.68,1866.15,0.0
gfx950,256,32768,512,1024,ck,14,0,38.8109,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,885.31,1742.63,0.0004
gfx950,256,32768,512,2048,ck,13,0,56.8603,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1208.57,1788.8,0.0
gfx950,256,1,1024,256,ck,7,0,3.2054,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.16,82.5,0.0
gfx950,256,1,1024,512,ck,7,0,3.4851,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.3,151.17,0.0
gfx950,256,1,1024,1024,cktile,1,0,4.3045,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_2,0.49,244.31,0.0
gfx950,256,1,1024,2048,ck,7,0,5.7725,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.73,364.01,0.0
gfx950,256,1,1024,4096,ck,7,0,11.7541,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.71,357.36,0.0
gfx950,256,2,1024,256,ck,12,0,2.9688,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,0.35,89.85,0.0
gfx950,256,2,1024,512,ck,7,0,2.9238,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,0.72,181.07,0.0
gfx950,256,2,1024,2048,ck,7,0,5.2285,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,1.6,402.67,0.0
gfx950,256,4,1024,256,ck,6,0,3.0499,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,0.69,88.97,0.0
gfx950,256,4,1024,512,ck,12,0,3.4066,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,1.23,156.91,0.0
gfx950,256,4,1024,2048,ck,7,0,5.3161,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.16,397.57,0.0
gfx950,256,4,1024,4096,ck,7,0,11.8653,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.83,355.56,0.0
gfx950,256,8,1024,256,ck,10,0,3.0962,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1.35,90.62,0.0
gfx950,256,8,1024,512,ck,7,0,3.5917,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.34,151.67,0.0
gfx950,256,8,1024,2048,ck,7,0,5.3678,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,6.25,396.8,0.0
gfx950,256,8,1024,4096,ck,7,0,11.8681,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.65,357.55,0.0
gfx950,256,16,1024,256,ck,7,0,2.7169,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,3.09,110.05,0.0
gfx950,256,16,1024,512,ck,7,0,3.019,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.56,187.23,0.0
gfx950,256,16,1024,1024,ck,7,0,3.9854,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.42,275.44,0.0
gfx950,256,16,1024,2048,ck,7,0,5.8201,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,11.53,371.59,0.0
gfx950,256,32,1024,256,ck,5,0,3.1069,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x128_8x16_16x16_16x16x1_8x32x1_1x16x1x16_4_1x1_intrawave_v1,5.4,108.11,0.0
gfx950,256,32,1024,512,ck,6,0,3.6427,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,9.21,166.42,0.0
gfx950,256,32,1024,1024,ck,7,0,4.2058,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.96,272.69,0.0
gfx950,256,32,1024,2048,ck,7,0,5.9764,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.46,372.84,0.0
gfx950,256,64,1024,256,ck,6,0,3.3447,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,10.03,122.46,0.0
gfx950,256,64,1024,512,ck,7,0,3.2677,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.54,210.58,0.0
gfx950,256,64,1024,1024,ck,7,0,4.2369,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,31.68,293.89,0.0
gfx950,256,64,1024,2048,ck,7,0,6.0502,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.37,389.95,0.0
gfx950,256,64,1024,4096,ck,7,0,10.9125,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.2,420.39,0.0
gfx950,256,128,1024,256,ck,12,0,3.2794,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,20.46,169.87,0.0
gfx950,256,128,1024,512,ck,7,0,3.3469,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.1,254.55,0.0
gfx950,256,128,1024,1024,ck,12,0,4.7163,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,56.92,305.7,0.0
gfx950,256,128,1024,2048,ck,7,0,6.1211,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,87.71,428.26,0.0
gfx950,256,256,1024,256,ck,7,0,3.0933,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,43.39,275.42,0.0
gfx950,256,256,1024,512,ck,12,0,3.897,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,68.88,302.71,0.0
gfx950,256,256,1024,1024,ck,12,0,4.8471,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,110.76,378.58,0.0
gfx950,256,512,1024,256,ck,10,0,3.5303,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,76.04,408.4,0.0
