M,N,K,q_dtype_w
2,4608,2048,torch.int8
4,4608,2048,torch.int8
8,4608,2048,torch.int8
16,4608,2048,torch.int8
32,4608,2048,torch.int8
64,4608,2048,torch.int8
128,4608,2048,torch.int8
256,4608,2048,torch.int8
512,4608,2048,torch.int8
1024,4608,2048,torch.int8
2048,4608,2048,torch.int8
4096,4608,2048,torch.int8
8192,4608,2048,torch.int8
16384,4608,2048,torch.int8
32768,4608,2048,torch.int8
1,5120,4096,torch.int8
2,5120,4096,torch.int8
4,5120,4096,torch.int8
8,5120,4096,torch.int8
16,5120,4096,torch.int8
32,5120,4096,torch.int8
64,5120,4096,torch.int8
128,5120,4096,torch.int8
256,5120,4096,torch.int8
512,5120,4096,torch.int8
1024,5120,4096,torch.int8
2048,5120,4096,torch.int8
4096,5120,4096,torch.int8
8192,5120,4096,torch.int8
16384,5120,4096,torch.int8
32768,5120,4096,torch.int8
1,6144,2048,torch.int8
2,6144,2048,torch.int8
4,6144,2048,torch.int8
8,6144,2048,torch.int8
16,6144,2048,torch.int8
32,6144,2048,torch.int8
64,6144,2048,torch.int8
128,6144,2048,torch.int8
256,6144,2048,torch.int8
512,6144,2048,torch.int8
1024,6144,2048,torch.int8
2048,6144,2048,torch.int8
4096,6144,2048,torch.int8
8192,6144,2048,torch.int8
16384,6144,2048,torch.int8
32768,6144,2048,torch.int8
1,8704,4096,torch.int8
2,8704,4096,torch.int8
4,8704,4096,torch.int8
8,8704,4096,torch.int8
16,8704,4096,torch.int8
32,8704,4096,torch.int8
64,8704,4096,torch.int8
128,8704,4096,torch.int8
256,8704,4096,torch.int8
512,8704,4096,torch.int8
1024,8704,4096,torch.int8
2048,8704,4096,torch.int8
4096,8704,4096,torch.int8
8192,8704,4096,torch.int8
16384,8704,4096,torch.int8
32768,8704,4096,torch.int8
1,9216,2048,torch.int8
2,9216,2048,torch.int8
4,9216,2048,torch.int8
8,9216,2048,torch.int8
16,9216,2048,torch.int8
32,9216,2048,torch.int8
64,9216,2048,torch.int8
128,9216,2048,torch.int8
256,9216,2048,torch.int8
512,9216,2048,torch.int8
1024,9216,2048,torch.int8
2048,9216,2048,torch.int8
4096,9216,2048,torch.int8
8192,9216,2048,torch.int8
16384,9216,2048,torch.int8
32768,9216,2048,torch.int8
1,10240,4096,torch.int8
2,10240,4096,torch.int8
4,10240,4096,torch.int8
8,10240,4096,torch.int8
16,10240,4096,torch.int8
32,10240,4096,torch.int8
64,10240,4096,torch.int8
128,10240,4096,torch.int8
256,10240,4096,torch.int8
512,10240,4096,torch.int8
1024,10240,4096,torch.int8
2048,10240,4096,torch.int8
4096,10240,4096,torch.int8
8192,10240,4096,torch.int8
16384,10240,4096,torch.int8
32768,10240,4096,torch.int8
1,12288,2048,torch.int8
2,12288,2048,torch.int8
4,12288,2048,torch.int8
8,12288,2048,torch.int8
16,12288,2048,torch.int8
32,12288,2048,torch.int8
64,12288,2048,torch.int8
128,12288,2048,torch.int8
256,12288,2048,torch.int8
512,12288,2048,torch.int8
1024,12288,2048,torch.int8
2048,12288,2048,torch.int8
4096,12288,2048,torch.int8
8192,12288,2048,torch.int8
16384,12288,2048,torch.int8
32768,12288,2048,torch.int8
1,17408,4096,torch.int8
2,17408,4096,torch.int8
4,17408,4096,torch.int8
8,17408,4096,torch.int8
16,17408,4096,torch.int8
32,17408,4096,torch.int8
64,17408,4096,torch.int8
128,17408,4096,torch.int8
256,17408,4096,torch.int8
512,17408,4096,torch.int8
1024,17408,4096,torch.int8
2048,17408,4096,torch.int8
4096,17408,4096,torch.int8
8192,17408,4096,torch.int8
16384,17408,4096,torch.int8
32768,17408,4096,torch.int8
1,20480,4096,torch.int8
2,20480,4096,torch.int8
4,20480,4096,torch.int8
8,20480,4096,torch.int8
16,20480,4096,torch.int8
32,20480,4096,torch.int8
64,20480,4096,torch.int8
128,20480,4096,torch.int8
256,20480,4096,torch.int8
512,20480,4096,torch.int8
1024,20480,4096,torch.int8
2048,20480,4096,torch.int8
4096,20480,4096,torch.int8
8192,20480,4096,torch.int8
16384,20480,4096,torch.int8
32768,20480,4096,torch.int8
